Folder,Analysis Result
winter_bright,"(array([21, 15, 16]), array([134, 105,  94]), array([165,  97,  98]), array([195, 170, 151]))"
winter_bright,"(array([52, 51, 44]), array([124, 139, 123]), array([171, 136, 126]), array([191, 231, 197]))"
winter_bright,"(array([91, 62, 63]), array([143, 121, 114]), array([148,  81,  90]), array([190, 166, 159]))"
winter_bright,"(array([56, 45, 48]), array([141, 114, 103]), array([190, 120, 118]), array([229, 213, 189]))"
winter_bright,"(array([27, 18, 11]), array([157, 177, 162]), array([178, 147, 144]), array([197, 217, 198]))"
winter_bright,"(array([23, 14, 12]), array([105, 104, 106]), array([91, 40, 52]), array([154, 156, 156]))"
winter_bright,"(array([38, 34, 39]), array([91, 75, 60]), array([108,  45,  47]), array([139, 109,  86]))"
winter_bright,"(array([60, 37, 33]), array([90, 65, 58]), array([153,  97,  94]), array([201, 159, 143]))"
winter_bright,"(array([58, 41, 43]), array([63, 50, 53]), array([196, 128, 127]), array([221, 217, 217]))"
winter_bright,"(array([12,  4,  3]), array([41, 27, 20]), array([165, 163, 156]), array([168, 149, 136]))"
winter_bright,"(array([23,  4,  1]), array([105,  89,  83]), array([133,  69,  73]), array([178, 174, 175]))"
winter_bright,"(array([23, 18, 20]), array([130, 106, 103]), array([200, 146, 139]), array([200, 165, 145]))"
winter_bright,"(array([22,  9,  9]), array([107,  76,  70]), array([180,  93,  95]), array([213, 184, 162]))"
winter_bright,"(array([20, 10,  5]), array([20, 16, 16]), array([112,  71,  66]), array([205, 178, 169]))"
winter_bright,"(array([43, 28, 21]), array([176, 167, 158]), array([199, 143, 158]), array([202, 198, 192]))"
winter_bright,"(array([28, 22, 19]), array([22, 18, 15]), array([202, 131, 132]), array([215, 183, 166]))"
autumn_mute,"(array([29, 20, 16]), array([72, 56, 52]), array([143, 102, 110]), array([173, 162, 155]))"
autumn_mute,"(array([68, 57, 62]), array([121, 106, 110]), array([164,  98, 126]), array([201, 179, 188]))"
autumn_mute,"(array([10,  2,  1]), array([77, 68, 60]), array([85, 34, 36]), array([158, 151, 139]))"
autumn_mute,"(array([49, 25, 23]), array([153,  95,  95]), array([209,  99, 108]), array([221, 158, 160]))"
autumn_mute,"(array([47, 41, 45]), array([65, 51, 56]), array([129,  77,  97]), array([188, 160, 173]))"
